"ID","Category","Distributor","Location","Phone","Country","City","Region/State","Street Address","Zip Code","Online store/website","Latitude","Longitude"
"9","1","3D HVAC Supplies Corp","3D HVAC Supplies Corp","(718) 359-8888","US","Flushing","NY","36-07 Bud Place","11354",,"40,76223","-73,83375"
"11","1","A&A Supply Co","A&A Supply Co","(954) 473-1172","US","Davie","FL","2000 Southwest 71st Terrace, Ste. A1","33317","https://www.aasupplyco.com/","26,09517","-80,24109"
,,"ACI Mechanical & HVAC Sales, Seatle","ACI Seattle","(206) 767-2600","US","Seattle","WA","6100 Sixth Avenue S","98108","https://www.acimechsales.com/","47,54728","-122,32538"
,,"ACI Mechanical & HVAC Sales, Portland","ACI Portland","(503) 238-6900 ","US","Portlland","OR","6821 NE Columbia Blvd Unit #14 ","97218","https://www.acimechsales.com/","45,5688","-122,59201"
,,"ACI Mechanical & HVAC Sales, Spokane","ACI Spokane","(509) 467-8082","US","Spokane","WA","3633 East Rowan Avenue","99217","https://www.acimechsales.com/","47,70788","-117,35605"
,,"AC Supply Super Store","A/C Super store","(954) 366-5576","US","Pompano Beach","FL","2101 Atlantic BLVD","33069",,"26,23231","-80,15183"
,,"AC WORLD         ","AC WORLD","(866) 777-7071","US","Detroit","MI","4051 Haggerty Road, West Bloomfield Township",48238,"https://www.ac-world.com","42,576335","-83,439981"
,,"Air Purchases","Air Purchases","(781) 273-2050","US","Burlington","MA","24 Blanchard Road","01803","https://airpurchases.com","42,4803581237793","-71,1954879760742"
,,"Air Purchases","Air Purchases","(781) 273-2050","US","Brockton","MA","1100 Pearl Street","02301","https://airpurchases.com","42,0516319274902","-71,0669479370117"
,,"Air Purchases","Air Purchases","(781) 273-2050","US","Dedham","MA","85 Commerce Way","02026","https://airpurchases.com","42,2446136474609","-71,1532211303711"
,,"Air Purchases","Air Purchases","(781) 273-2050","US","Hyannis","MA","68 Cit Aveneue ","02601","https://airpurchases.com","41,6718254089355","-70,2933807373046"
,,"Air Purchases","Air Purchases","(781) 273-2050","US","Manchester","MA","735 D East Industrial Park Drive ","03109","https://airpurchases.com","42,969556","-71,410037"
,,"Airstream Supply","Air Stream Supplies","(410) 688-2823","US","Havre De Grace","MD","1325 Old Post RD. ","21078","http://airstreamsupplies.com/","39,538454","-76,109346"
"100","1","All Borough HVAC Supply","All Borough HVAC Supply","(929) 241-0000","US","Brooklyn","NY","881 East 52nd Street","11203",,"40,6393313","-73,9269946"
"1","5","Amazon","Amazon","online","US","online","online","online","online","https://www.amazon.com",,
"8","1","AM Distributors","AM Distributors","(130) 545-6264","US","Miami","FL","2555 NW 75 Ave","33122","www.am-distributors.com","25,797779","-80,318437"
"87","1","ARM HVAC Distributor, Inc.","ARM HVAC Distributor, Inc.","(718) 437-1140","US","Brooklyn","NY","1261 39th Street","11218",,"40,6412228","-73,9871073"
"50","1","Baldwin Winair","Baldwin Winair","(706) 894-2963","US","Alto","GA","270 Duncan Bridge Rd","30510","https://www.winsupplyinc.com/Location/Alto-GA/30510/HVAC-Plumbing","34,48687","-83,559291"
,,"Bermuda Air Conditioning Ltd. ","Bermuda Air Conditioning Ltd. ","(441) 292-0881","Bermuda","Pembroke","Bermuda","9 Mill Creek Road","MH 05","https://www.bac.bm/bermuda-air-conditioning","32,33022","-64,74003"
"107","4","Bonterra","www.bonterrahomeandgarden.com","online","US","online","online","online","online","https://www.bonterrahomeandgarden.com/mini-splits",,
"94","1","Budget Air Supply","Budget Air Supply","(863) 353-6843","US","Davenport","FL","38190 Hwy 27 South","33837","www.BudgetAirSupply.com","28,232303","-81,649873"
"93","1","Cannoth  Roberts","Air Tech A/C & Refrigeration","(441) 531-1040","US","Southampton","Bermuda","17 Whale Bay Rd","sb04",,"32,25083","-64,85639"
,,"Capital Winair","Capital Winair","(518) 459-0299","US","Albany","NY","71 Fuller Rd","12205","https://www.winsupplyinc.com/Location/Albany-NY/12205/HVAC-Supplies","42,6991907","-73,8252867"
"88","1","Cardinal Mechanic LLC","Cardinal Mechanic LLC","(330) 509-1268","US","Canfield","OH","236 Moreland Drive","44406",,"41,0341478","-80,7676771"
,,"COMFORT TECHNICAL SOLUTIONS LLC","Comfort Technical Solutions","(813) 409-0694","US","Tampa","FL","5805 Anderson Rd",33634,"https://ctsacsupply.com","27,998243","-82,52489"
"72","1","Conyers Winair","Conyers Winair","(678) 413-0530","US","Conyers","GA","1105 Ellington Drive NW","30012","https://www.winsupplyinc.com/Location/Conyers-GA/30012/HVAC-Supplies","33,6724543","-84,0265875"
,,"Cooling and Refrigeration Distributora, LLC","Cooling and Refrigeration Distributora, LLC","(305) 501-2871","US","Miami","FL","2400 NW 72nd Ave","33122","http://www.coolingdistributors.com/","25,7960524","-80,3134696"
,,"Crescent Supply Co Inc.","Crescent Supply Co Inc.","(864) 269-9577","US","Greenville","SC","2124 Anderson Rd","29611","https://www.crescentsupplycompany.com","34.822316","-82,4329175"
,,"Deplus A/C Supply","Deplus A/C Supply","(786) 500-0501 ","US","Doral","FL","11005 NW 33rd St","33172","https://www.deplus.us","25.8042934","-80,3751508"
"2","5","Ebay","ebay","online","US","online","online","online","online","https://www.ebay.com",,
