ru,uk,en
Одесская,Одеська,Odessa
Днепропетровская,Дніпропетровська,Dnepropetrovsk
Черниговская,Чернігівська,Chernihiv
Харьковская,Харківська,Kharkiv
Житомирская,Житомирська,Zhytomyr
Полтавская,Полтавська,Poltava
Херсонская,Херсонська,Kherson
Киевская,Київська,Kievskaya
Запорожская,Запорізька,Zaporozhye
Луганская,Луганська,Luhansk
Донецкая,Донецька,Donetsk
Винницкая,Вінницька,Vinnitsa
АР Крым,АР Крим,Autonomous Republic of Crimea
Кировоградская,Кiровоградська,Kirovogradskaya
Николаевская,Миколаївська,Nikolaevskaya
Сумская,Сумська,Sumy
Львовская,Львівська,Lviv
Черкасская,Черкаська,Cherkasy
Хмельницкая,Хмельницька,Khmelnytsky
Волынская,Волинська,Volyn
Ровенская,Рівненська,Rivne
Ивано-Франковская,Івано-Франківська,Ivano-Frankivsk
Тернопольская,Тернопільська,Ternopil
Закарпатская,Закарпатська,Transcarpathian
Черновицкая,Чернівецька,Chernivtsi
г. Севастополь,м. Севастополь,Sevastopol
г. Киев,м. Київ,Kyiv City
