Afghanistan,Афганистан,Афганiстан,AFG,004
Albania,Албания,Албанiя,ALB,355
Algeria,Алжир,Алжир,DZA,213
Åland Islands,Аландские острова,Аландські острови,ALA,358
American samoa,Американское Самоа,Американське Самоа,ASM,1684
Andorra,Андорра,Андорра,AND,376
Angola,Ангола,Ангола,AGO,244
Anguilla,Ангилья,Ангілья,AIA,1264
Antigua and Barbuda,Антигуа и Барбуда,Антiгуа i Барбуда,ATG,1268
Argentina,Аргентина,Аргентина,ARG,54
Armenia,Армения,Вiрменiя,ARM,374
Aruba,Аруба,Аруба,ABW,297
Australia,Австралия,Австралiя,AUS,61
Austria,Австрия,Австрiя,AUT,43
Azerbaijan,Азербайджан,Азербайджан,AZE,994
Bahamas,Багамы,Багами,BHS,1242
Bahrain,Бахрейн,Бахрейн,BHR,973
Bangladesh,Бангладеш,Бангладеш,BGD,880
Barbados,Барбадос,Барбадос,BRB,1246
Belarus,Беларусь,Бiлорусь,BLR,375
Belgium,Бельгия,Бельгiя,BEL,32
Belize,Белиз,Белiз,BLZ,501
Benin,Бенин,Бенiн,BEN,229
Bermuda,Бермуды,Бермуди,BMU,1441
Butane,Бутан,Бутан,BTN,975
Bolivia,Боливия,Болiвiя,BOL,591
Bosnia and Herzegovina,Босния и Герцеговина,Боснiя i Герцеговина,BIH,387
Botswana,Ботсвана,Ботсвана,BWA,267
Brazil,Бразилия,Бразилiя,BRA,55
British Indian Ocean Territory,Британская территория в Индийском океане,Британська територія в Індійському океані,IOT,246
Brunei Darussalam,Бруней-Даруссалам,Бруней-Дарусалам,BRN,673
Bulgaria,Болгария,Болгарiя,BGR,359
Burkina Faso,Буркина-Фасо,Буркина-Фасо,BFA,226
Burundi,Бурунди,Бурундi,BDI,257
Vanuatu,Вануату,Вануату,VUT,678
Vatican,Ватикан,Ватикан,VAT,379
Hungary,Венгрия,Угорщина,HUN,36
Venezuela,Венесуэла,Венесуела,VEN,58
Great Britain,Великобритания,Великобританiя,GBR,44
US Virgin Islands,Виргинские острова США,Вiргiнськi острови США,VIR,1 340
East Timor,Восточный Тимор,Схiдний Тимор,TLS,670
Vietnam,Вьетнам,В'єтнам,VNM,84
Gabon,Габон,Габон,GAB,241
Haiti,Гаити,Гаїтi,HTI,509
Guyana,Гайана,Гайана,GUY,592
Gambia,Гамбия,Гамбiя,GMB,220
Ghana,Гана,Гана,GHA,233
Guadeloupe,Гваделупа,Гваделупа,GLP,590
Guatemala,Гватемала,Гватемала,GTM,502
Guinea,Гвинея,Гвiнея,GIN,224
Guinea-Bissau,Гвинея-Бисау,Гвiнея-Бiсау,GNB,245
Germany,Германия,Нiмеччина,DEU,49
Guernsey,Гернси,Гернсі,GGY,44
Gibraltar,Гибралтар,Гiбралтар,GIB,350
Honduras,Гондурас,Гондурас,HND,504
Hong Kong,Гонконг,Гонконг,HKG,852
Greece,Греция,Грецiя,GRC,30
Greenland,Гренландия,Гренландiя,GRL,299
Grenada,Гренада,Гренада,GRD,1473
Georgia,Грузия,Грузiя,GEO,995
Guam,Гуам,Гуам,GUM,1671
Denmark,Дания,Данiя,DNK,45
Dominica,Доминика,Домiнiка,DMA,1767
Dominican Republic,Доминиканская Республика,Домiнiканська Республiка,DOM,1809
Djibouti,Джибути,Джiбутi,DJI,253
Egypt,Египет,Єгипет,EGY,20
Zambia,Замбия,Замбiя,ZMB,260
West Sahara,Западная Сахара,Захiдна Сахара,ESH,212
Zimbabwe,Зимбабве,Зiмбабве,ZWE,263
Israel,Израиль,Iзраїль,ISR,972
India,Индия,Iндiя,IND,91
Indonesia,Индонезия,Iндонезiя,IDN,62
Iran,Иран,Iран,IRN,98
Iraq,Ирак,Iрак,IRQ,964
Spain,Испания,Iспанiя,ESP,34
Italy,Италия,Iталiя,ITA,39
Jordan,Иордания,Йорданiя,JOR,962
Ireland,Ирландия,Iрландiя,IRL,353
Iceland,Исландия,Ісландія,ISL,354
Yemen,Йемен,Йемен,YEM,967
Cape Verde,Кабо-Верде,Кабо-Верде,CPV,238
Kazakhstan,Казахстан,Казахстан,KAZ,76
Canada,Канада,Канада,CAN,1
Cambodia,Камбоджа,Камбоджа,KHM,855
Cameroon,Камерун,Камерун,CMR,237
Qatar,Катар,Катар,QAT,974
Kenya,Кения,Кенiя,KEN,254
China,Китай,Китай,CHN,86
Cyprus,Кипр,Кiпр,CYP,357
Kiribati,Кирибати,Кiрiбатi,KIR,686
Colombia,Колумбия,Колумбiя,COL,57
Congo,Конго,Конго,COG,242
Congo Democratic Republic,Конго демократическая республика,Конго демократична республiка,COD,243
Comoros,Коморы,Комори,COM,269
Costa Rica,Коста-Рика,Коста-Рiка,CRI,506
Cocos islands,Кокосовые острова,Кокосові острови,CCK,61
Ivory Coast,Кот-д'Ивуар,Кот-д'iвуар,CIV,225
Cuba,Куба,Куба,CUB,53
Kuwait,Кувейт,Кувейт,KWT,965
Kyrgyzstan,Кыргызстан,Киргизстан,KGZ,996
Curacao,Кюрасао,Кюрасао,CUW,599
Laos,Лаос,Лаос,LAO,856
Latvia,Латвия,Латвiя,LVA,371
Lesotho,Лесото,Лесото,LSO,266
Liberia,Либерия,Лiберiя,LBR,231
Lebanon,Ливан,Лiван,LBN,961
Libya,Ливия,Лiвiя,LBY,218
Lithuania,Литва,Литва,LTU,370
Liechtenstein,Лихтенштейн,Лiхтенштейн,LIE,423
Luxembourg,Люксембург,Люксембург,LUX,352
Mauritania,Мавритания,Мавританiя,MRT,222
Mauritius,Маврикий,Маврикiй,MUS,230
Madagascar,Мадагаскар,Мадагаскар,MDG,261
Mayotte,Майотта,Майотта,MYT,262
Malawi,Малави,Малавi,MWI,265
Malaysia,Малайзия,Малайзiя,MYS,60
Mali,Мали,Малi,MLI,223
Maldives,Мальдивы,Мальдiви,MDV,960
Malta,Мальта,Мальта,MLT,356
Macau,Макао,Макао,MAC,853
Macedonia,Македония,Македонiя,MKD,389
Martinique,Мартиника,Мартинiка,MTQ,596
Morocco,Марокко,Марокко,MAR,212
Marshall Islands,Маршалловы Острова,Маршаловi острови,MHL,692
Mexico,Мексика,Мексика,MEX,52
Federated States of Micronesia,Микронезия - федеративные штаты,Мiкронезiя - федеративнi штати,FSM,691
Mozambique,Мозамбик,Мозамбiк,MOZ,258
Moldova,Молдова,Молдова,MDA,373
Monaco,Монако,Монако,MCO,377
Mongolia,Монголия,Монголiя,MNG,976
Montserrat,Монтсеррат,Монтсеррат,MSR,1664
Myanmar,Мьянма,М'янма,MMR,95
Namibia,Намибия,Намiбiя,NAM,264
Nauru,Науру,Науру,NRU,674
Nepal,Непал,Непал,NPL,977
Niger,Нигер,Нiгер,NER,227
Nigeria,Нигерия,Нiгерiя,NGA,234
